concept,pos,tf_collection
solider,NN,1
50-yr-old man,JJ NN,1
teaching,NN,1
minorities,NN,1
mo,NN,1
conspiracy theories,NN NN,1
voices,NN,1
stop people,VB NN,1
nick griffin,NN NN,1
murderers of children,NN IN NN,1
child,NN,1
politician,NN,1
national leaders,JJ NN,1
school district,NN NN,1
satan,NN,1
kinds of people,NN IN NN,1
watching shia militia,VB NN NN,1
hollande,NN,1
the terrorists,DT NN,1
west,NN,1
talmud,NN,1
egyptians,NN,1
zionism,NN,1
racist,NN,1
️obama,NN,1
quotes,NN,1
journalists,NN,1
many times,JJ NN,1
infidel,NN,1
defames,NN,1
2/3,CD,1
military defeat,JJ NN,1
statistics,NN,1
muslim nazis,NN NN,1
max,NN,1
obama,NN,1
small fraction of the land,JJ NN IN DT NN,1
psychopaths,NN,1
militants,NN,1
some people,DT NN,1
catapults,NN,1
bb,NN,1
end result,NN NN,1
bombing,NN,1
record of animals,NN IN NN,1
politicians,NN,1
cathedral,NN,1
council,NN,1
religious police,JJ NN,1
large forces of religious police,JJ NN IN JJ NN,1
way of life,NN IN NN,1
brigade,NN,1
enslave,NN,1
criminals,NN,1
norway,NN,1
buddhist,NN,1
.islam,NN,1
charges,NN,1
bullshit,NN,1
tikrit,NN,1
iraqi shia,NN NN,1
83:25,CD,1
organizations,NN,1
muslim countries,NN NN,1
liars,NN,1
grand mufti,NN NN,1
rapists,NN,1
armies,NN,1
islamist erdogan,NN NN,1
iraq,NN,1
democrats,NN,1
followers of the religion,NN IN DT NN,1
religion of peace,NN IN NN,1
clown,NN,1
fsa,NN,1
freedom of speech,NN IN NN,1
activities,NN,1
propaganda word,NN NN,1
umar,NN,1
giuliani,NN,1
tyrants,NN,1
mosul,NN,1
islamolunatic,NN,1
jihadists,NN,1
muslim americans,NN NN,1
1/3,CD,1
throws,NN,1
8.12,CD,1
doctrine,NN,1
contribution,NN,1
radical islam,NN NN,1
sexism,NN,1
mythical creatures of fire,JJ NN IN NN,1
crimes,NN,1
western world,JJ NN,1
part,NN,1
kayla mueller,NN NN,1
blacks,NN,1
report,NN,1
islamist,NN,1
day,NN,1
muslim people,JJ NN,1
christian,NN,1
cunt.you,NN,1
radicalization,NN,1
images,NN,1
excuse mankind,NN NN,1
illegals,NN,1
prophet rape,NN NN,1
street,NN,1
preacher,NN,1
tells,NN,1
believe system,NN NN,1
towel,NN,1
barbarity,NN,1
rats,NN,1
tax money,NN NN,1
peshmerga,NN,1
doctors,NN,1
turks,NN,1
rare response,JJ NN,1
filthy islam,NN NN,1
ally,NN,1
pact,NN,1
40 %,CD NN,1
islamic,NN,1
america,NN,1
statement,NN,1
picture,NN,1
sanctions,NN,1
austrians,NN,1
jordan,NN,1
islamic states,JJ NN,1
professor,NN,1
inventions,NN,1
science,NN,1
these days,DT NN,1
israeli,NN,1
actual muslims,JJ NN,1
quran islam,NN NN,1
muhammad,NN,1
heroes,NN,1
called moderates,VB NN,1
later verses,JJ NN,1
honor,NN,1
three thousand,CD NN,1
testimony,NN,1
entire world,JJ NN,1
may,NN,1
muslim joke,NN NN,1
12-year-old pregnant wife,JJ JJ NN,1
get,NN,1
2:282,CD,1
jew,NN,1
kheitir,NN,1
racists,NN,1
link,NN,1
hadiths mohammed,NN NN,1
commit,NN,1
prophet murder,NN NN,1
traffic light,NN NN,1
indians,NN,1
troll,NN,1
protesters,NN,1
board of elections,NN IN NN,1
symptom,NN,1
study,NN,1
evidence,NN,1
palestinian muslim,NN NN,1
entire,NN,1
torah,NN,1
followers,NN,1
opens,NN,1
muslim pakistani,NN NN,1
terrorism,NN,1
stop,NN,1
lawyer,NN,1
mahmoud abbas,NN NN,1
doncha,NN,1
three,CD,1
bangladesh,NN,1
age,NN,1
army,NN,1
